requirement_id,scope,requirement_type,requirement,acceptance_criteria,verification,applies_to,release_status,notes
MAT-007,material,metal_parts,"Steel sleeves, cup washers, shims, and any inserts must be corrosion protected after cutting/forming.","No bare steel left on installed parts; deburred edges; zinc plate, epoxy primer, or paint fully covers cut edges.","Visual inspection before assembly; check burrs by hand.","BM-SLV; BM-CUP; BM-SHIM; FS-OVAL insert if used",open,"Protect after cutting and forming, not before."
GEO-001,geometry,measurement_method,"Final dimensions must be measured after curing, trimming, drilling/punching, and 24 h relaxation.","All inspected dimensions within the released tolerance table; rubber thickness measured with light contact pressure, not clamped hard.","Caliper readings recorded on inspection sheet; ASTM D3767 used as reference where available.","all fabricated rubber pieces",open,"Rubber dimensions move after cutting and cure; inspect the finished part."
GEO-002,geometry,parallelism_concentricity,"Circular cushions must have flat parallel faces and concentric bore/register geometry.","Face parallelism <=0.5 mm across the part; bore/register concentricity <=1.0 mm; no wedge-shaped cushion.","Caliper height readings at four clock positions; visual centering check and bore measurement at two axes.","BM-SM; BM-LG",open,"Wedge or off-centre cushions will force body alignment."
GEO-003,geometry,hole_quality,"Rubber holes and slots must be punched, bored, or waterjet cut cleanly. Do not burn, hand-tear, or rough knife the functional holes.","Hole/slot location within +/-0.5 mm where specified; edges clean with no radial tear starting points; hole axis square to face within practical shop capability.","Pin gauge/bolt trial fit and visual inspection.","FS-OVAL; FS-STRIP-L; FS-STRIP-R; BM-SM; BM-LG",open,"Functional holes control fit. Rough holes become crack starters."
GEO-004,geometry,edge_finish,"External edges must be smooth with small radius/chamfer where specified. No sharp torn edges on load-bearing rubber.","Circular cushion outer edge radius R2-R3; relief corners R3 on FS-OVAL; no feathered flash >0.5 mm on seating faces.","Visual and radius template check.","BM-SM; BM-LG; FS-OVAL; FS-STRIP-L; FS-STRIP-R",open,"Sharp internal corners and flash can tear under compression."
PROC-001,process,cure_and_trim,"Rubber must be fully cured and dimensionally stable before delivery.","No tacky surface, uncured smell, oily bleeding, voids, cracks, or trapped debris; part holds shape after 24 h at room temperature.","Visual/tactile inspection and supplier cure declaration.","all fabricated rubber pieces",open,"Reject undercured pieces even if dimensions look correct."
PROC-002,process,strip_template,"Strip rubbers must be made from physical templates, not the photo dimensions alone.","Card/acetate template marked left/right, vehicle orientation, hole centres from metal carrier, and final outline signed before cutting.","Compare template to old strip and carrier; dry-fit on carrier before bonding or final delivery.","FS-STRIP-L; FS-STRIP-R",open,"The old strip photos are too curled/torn for final cut patterns."
PROC-003,process,bonded_strip_surface_prep,"If any strip rubber is bonded to a steel carrier, bond only to cleaned and prepared metal.","Carrier blasted or sanded to clean metal, degreased, primed/bonded with rubber-to-metal adhesive, clamped flat through cure; no adhesive applied over rust, paint, oil, or loose old rubber.","Shop process record, visual check before bonding, and edge lift check after cure.","FS-STRIP-L; FS-STRIP-R; FS-OVAL insert if bonded",open,"Chemlok 205/220 or a local equivalent is acceptable if used per adhesive maker instructions."
PROC-004,process,bond_acceptance,"Bonded rubber must not lift from the carrier at edges or around holes.","No visible gaps, bubbles, loose corners, or peel at edges after hand flex; production witness coupon preferred if fabricator can make one.","Visual inspection and light hand peel at non-critical edge; ASTM D429 reference if tested by lab.","bonded FS-STRIP-L/R; bonded FS-OVAL insert",open,"Do not accept cosmetic glue-over repairs."
PROC-005,process,sleeve_cutting,"Sleeves must be cut only after rubber/cup stack height and target compression are released.","Length equals released free stack minus 3-4 mm target compression unless dry-fit proves a different value; ends square within 0.5 mm; ID clears M10 bolt.","Dry-stack measurement and bolt pass-through test.","BM-SLV",open,"Sleeve length controls over-crush and final tub height."
PROC-006,process,cup_washer_forming,"Cup/seat washers must support the rubber face and centre the stack without rocking.","Cup OD matches cushion family, hole 11 mm for M10 clearance, dish/register depth 2-3 mm, steel 2.5-3.0 mm, no rocking on flat plate.","Caliper check, flat plate check, M10 bolt trial fit.","BM-CUP",open,"Thin flat generic washers are not substitutes for seat cups."
FIT-001,fit,dry_stack_check,"Dry-stack one large station, one small station, and one front-support station before final acceptance.","Bolt passes freely; sleeve bottoms before rubber is crushed beyond target; cup seats flat; stack height matches release sheet; no side-load or rocking.","Bench dry-stack with actual bolt, sleeve, cup, rubber, shim, and landing surface where possible.","BM-SM; BM-LG; BM-SLV; BM-CUP; FS-OVAL",open,"This is the main practical acceptance test."
FIT-002,fit,vehicle_trial_fit,"Final batch acceptance requires vehicle/carrier fit, not just bench dimensions.","Tub/front support aligns without forced bolts; left/right heights are matched; door/front clip alignment can be adjusted by shims at original interfaces only.","Mechanic dry-fit notes and photos.","all body/front-support mount pieces",open,"No final torque until all stations and shims are accepted."
INS-001,inspection,inspection_report,"Fabricator must deliver a one-page inspection report with the batch.","Report lists part ID, quantity, material batch, Shore A readings, key dimensions, visual result, date, and fabricator contact.","Check report against delivered labels and parts.","all fabricated parts",open,"A handwritten sheet is acceptable if complete."
INS-002,inspection,dimensional_sampling,"Inspect every part for visual defects and critical dimensions; record at least one full dimensional check per family plus any first article.","No part outside released tolerance; any failed dimension requires sorting the whole family.","Caliper inspection against release table.","all fabricated parts",open,"For small quantity batches, 100 percent inspection is practical."
INS-003,inspection,durometer_sampling,"Check hardness on representative flat area or test coupon from each family.","At least 3 readings per family or coupon; average within 55-65 Shore A and individual readings not outside 53-67 unless surface geometry explains variation.","Shore A durometer check.","BM-SM; BM-LG; FS-OVAL; FS-STRIP-L/R",open,"If the finished part is too small/curved for reliable hardness, use a same-batch flat coupon."
PACK-001,packaging,labeling,"Package by part ID and station/side; keep old samples separate and return them.","Each bag labeled with part ID, qty, date, rubber batch, orientation where relevant, and matching old sample/photo reference.","Receiving check before leaving fabricator.","all parts",open,"Avoid mixing small/large pieces or left/right strips during transport."
PACK-002,packaging,storage_transport,"Protect finished rubber from heat, oil, fuel, direct sun, and deformation before installation.","Parts delivered clean, dry, uncompressed, and not tied with wire or sharp straps; no oily bags or solvent contact.","Visual receiving check.","all rubber parts",open,"Do not store under heavy parts in the workshop."
REJ-001,rejection,visual_rejects,"Reject any part with defects that would reduce strength, sealing, or seating.","Reject cracks, cuts, voids over 1 mm at load face, exposed crumb/filler lumps, delamination, tackiness, oil bleed, embedded metal/debris, rough functional holes, mixed hardness, or wrong material.","100 percent visual inspection.","all fabricated rubber pieces",open,"The cheapest rejection point is before installation."
CHANGE-001,change_control,no_substitution,"Fabricator may not substitute material, hardness, construction, split-stack design, sleeve length, or hole pattern without written approval.","Any deviation must be written on the quote/invoice and approved before manufacture.","Compare quote, invoice, inspection sheet, and delivered parts.","all parts",open,"This protects against local shop substitutions after verbal discussion."
